,userID,itemID,eventStrength
0,0,12001,1
1,0,967,1
2,0,13503,1
3,0,3652,1
4,0,10792,1
5,0,13090,1
6,0,5675,1
7,0,27449,1
8,0,15269,1
9,0,25674,1
10,0,26200,1
11,0,5792,1
12,0,29671,1
13,0,23851,1
14,0,4842,1
15,0,16854,1
16,0,15003,1
17,0,11973,1
18,0,6907,1
19,0,29965,1
20,0,21692,1
21,0,25380,1
22,0,13011,1
23,0,15549,1
24,0,29402,1
25,0,25219,1
26,0,11084,1
27,0,12725,1
28,0,10284,1
29,0,22540,1
30,0,23364,1
31,0,3664,1
32,0,10488,1
33,0,25900,1
34,0,17037,1
35,0,13096,1
36,0,15020,1
37,0,7850,1
38,0,15227,1
39,0,5410,1
40,0,12364,1
41,0,15904,1
42,0,11264,1
43,0,29142,1
44,0,13877,1
45,0,22720,1
46,0,4193,1
47,0,28172,1
48,0,12359,1
49,0,5542,1
50,1,10037,1
51,1,22064,1
52,1,13996,1
53,1,20723,1
54,1,21317,1
55,1,12566,1
56,1,21341,1
57,1,297,1
58,1,30795,1
59,1,4410,1
60,1,20704,1
61,1,9007,1
62,1,21771,1
63,1,30241,1
64,1,12435,1
65,1,90,1
66,1,2665,1
67,1,7156,1
68,1,6771,1
69,1,3898,1
70,1,12849,1
71,1,6937,1
72,1,12476,1
73,1,3962,1
74,1,6758,1
75,1,16539,1
76,1,17002,1
77,1,8673,1
78,1,14920,1
79,1,29463,1
80,1,14588,1
81,1,30769,1
82,1,26321,1
83,1,28198,1
84,1,12465,1
85,1,3456,1
86,1,11980,1
87,1,23691,1
88,1,5255,1
89,1,8485,1
90,1,17811,1
91,1,11989,1
92,1,28490,1
93,1,24736,1
94,1,27729,1
95,1,11189,1
96,1,20752,1
97,1,4237,1
98,1,12137,1
99,1,14196,1
100,2,30333,1
101,2,17615,1
102,2,13550,1
103,2,4471,1
104,2,10217,1
105,2,19693,1
106,2,16653,1
107,2,2990,1
108,2,21780,1
109,2,22209,1
110,2,25498,1
111,2,14890,1
112,2,5867,1
113,2,15642,1
114,2,14431,1
115,2,7210,1
116,2,2421,1
117,2,1682,1
118,2,18949,1
119,2,12338,1
120,2,9488,1
121,2,4162,1
122,2,4621,1
123,2,25426,1
124,2,28711,1
125,2,20285,1
