,userID,itemID,eventStrength
0,0,696,1
1,0,1056,1
2,0,276,1
3,0,149,1
4,0,55,1
5,0,602,1
6,0,433,1
7,0,915,1
8,0,186,1
9,0,21,1
10,0,752,1
11,0,430,1
12,0,570,1
13,0,237,1
14,0,238,1
15,0,233,1
16,0,82,1
17,0,1048,1
18,0,694,1
19,0,1081,1
20,0,393,1
21,0,430,1
22,0,961,1
23,0,674,1
24,0,150,1
25,0,759,1
26,0,462,1
27,0,60,1
28,0,20,1
29,0,881,1
30,0,1017,1
31,0,93,1
32,0,99,1
33,0,249,1
34,0,1220,1
35,0,878,1
36,0,68,1
37,0,1096,1
38,0,522,1
39,0,780,1
40,0,358,1
41,0,412,1
42,0,429,1
43,0,803,1
44,0,777,1
45,0,822,1
46,0,401,1
47,0,5,1
48,0,1182,1
49,0,1221,1
50,1,198,1
51,1,505,1
52,1,561,1
53,1,341,1
54,1,1124,1
55,1,352,1
56,1,922,1
57,1,387,1
58,1,666,1
59,1,281,1
60,1,743,1
61,1,267,1
62,1,411,1
63,1,1192,1
64,1,564,1
65,1,567,1
66,1,609,1
67,1,187,1
68,1,793,1
69,1,302,1
70,1,1118,1
71,1,1229,1
72,1,572,1
73,1,710,1
74,1,595,1
75,1,746,1
76,1,147,1
77,1,1085,1
78,1,598,1
79,1,937,1
80,1,743,1
81,1,173,1
82,1,799,1
83,1,135,1
84,1,1222,1
85,1,300,1
86,1,641,1
87,1,484,1
88,1,1104,1
89,1,618,1
90,1,92,1
91,1,1026,1
92,1,1213,1
93,1,247,1
94,1,719,1
95,1,628,1
96,1,986,1
97,1,1234,1
98,1,836,1
99,1,277,1
100,2,583,1
101,2,641,1
102,2,134,1
103,2,186,1
104,2,256,1
105,2,931,1
106,2,876,1
107,2,533,1
108,2,287,1
109,2,817,1
110,2,713,1
111,2,487,1
112,2,308,1
113,2,1107,1
114,2,35,1
115,2,1066,1
116,2,1184,1
117,2,922,1
118,2,52,1
119,2,325,1
120,2,267,1
121,2,576,1
122,2,62,1
123,2,432,1
124,2,404,1
125,2,305,1
126,2,1037,1
127,2,278,1
128,2,191,1
129,2,313,1
130,2,172,1
131,2,436,1
132,2,612,1
133,2,136,1
134,2,986,1
135,2,122,1
136,2,938,1
137,2,564,1
138,2,678,1
139,2,736,1
140,2,862,1
141,2,895,1
142,2,2,1
143,2,87,1
144,2,279,1
145,2,667,1
146,2,849,1
147,2,848,1
148,2,467,1
149,2,859,1
150,3,907,1
151,3,1088,1
152,3,498,1
153,3,683,1
154,3,294,1
155,3,444,1
156,3,939,1
157,3,1213,1
158,3,508,1
159,3,803,1
160,3,958,1
161,3,858,1
162,3,105,1
163,3,900,1
164,3,1043,1
165,3,1083,1
166,3,999,1
167,3,658,1
168,3,1191,1
169,3,692,1
170,3,496,1
171,3,1022,1
172,3,124,1
173,3,132,1
174,3,894,1
175,3,433,1
176,3,1130,1
177,3,532,1
178,3,1238,1
179,3,978,1
180,3,962,1
181,3,677,1
182,3,811,1
183,3,1058,1
184,3,600,1
185,3,996,1
186,3,377,1
187,3,779,1
188,3,851,1
189,3,800,1
190,3,420,1
191,3,394,1
192,3,575,1
193,3,125,1
194,3,996,1
195,3,76,1
196,3,218,1
197,3,171,1
198,3,864,1
199,3,435,1
200,4,215,1
201,4,922,1
202,4,149,1
203,4,863,1
204,4,968,1
205,4,81,1
206,4,473,1
207,4,798,1
208,4,195,1
209,4,184,1
210,4,664,1
211,4,1096,1
212,4,755,1
213,4,716,1
214,4,192,1
215,4,83,1
216,4,190,1
217,4,424,1
218,4,1064,1
219,4,352,1
220,4,1141,1
221,4,997,1
222,4,729,1
223,4,1121,1
224,4,853,1
225,4,1111,1
226,4,576,1
227,4,942,1
228,4,1052,1
229,4,650,1
230,4,278,1
231,4,1030,1
232,4,282,1
233,4,1071,1
234,4,148,1
235,4,1025,1
236,4,348,1
237,4,748,1
238,4,225,1
239,4,800,1
240,4,269,1
241,4,296,1
242,4,76,1
243,4,1029,1
244,4,1031,1
245,4,864,1
246,4,921,1
247,4,163,1
248,4,173,1
249,4,740,1
250,5,1202,1
251,5,957,1
252,5,386,1
253,5,65,1
254,5,748,1
255,5,121,1
256,5,288,1
257,5,555,1
258,5,804,1
259,5,857,1
260,5,100,1
261,5,304,1
262,5,1190,1
263,5,484,1
264,5,239,1
265,5,890,1
266,5,813,1
267,5,1179,1
268,5,387,1
269,5,358,1
270,5,1094,1
271,5,1169,1
272,5,806,1
273,5,968,1
274,5,448,1
275,5,490,1
276,5,1111,1
277,5,1012,1
278,5,32,1
279,5,143,1
280,5,277,1
281,5,813,1
282,5,790,1
283,5,541,1
284,5,788,1
285,5,221,1
286,5,433,1
287,5,379,1
288,5,638,1
289,5,461,1
290,5,366,1
291,5,158,1
292,5,128,1
293,5,390,1
294,5,953,1
295,5,575,1
296,5,1074,1
297,5,952,1
298,5,244,1
299,5,136,1
300,6,161,1
301,6,293,1
302,6,115,1
303,6,269,1
304,6,970,1
